Date;Bikes
2020-06-09T02:40:27.796Z;1;
2020-06-09T03:40:27.812Z;1;
2020-06-09T04:40:27.896Z;1;
2020-06-09T05:40:27.990Z;1;
2020-06-09T06:40:28.028Z;1;
2020-06-09T07:40:28.064Z;6;
2020-06-09T08:40:28.136Z;7;
2020-06-09T09:40:28.216Z;7;
2020-06-09T10:40:28.228Z;7;
2020-06-09T11:40:28.328Z;7;
2020-06-09T12:40:28.344Z;7;
2020-06-09T13:40:28.420Z;8;
2020-06-09T14:40:28.448Z;8;
2020-06-09T15:40:28.500Z;7;
2020-06-09T16:40:28.576Z;4;
2020-06-09T17:40:28.617Z;5;
2020-06-09T18:40:28.680Z;6;
2020-06-09T19:40:28.728Z;6;
2020-06-09T20:40:28.752Z;5;
2020-06-09T21:40:28.842Z;4;
2020-06-09T22:40:28.916Z;4;
2020-06-09T23:40:29.008Z;4;
2020-06-10T00:40:29.056Z;4;
2020-06-10T01:40:29.114Z;4;
2020-06-10T02:40:29.196Z;4;
2020-06-10T03:40:29.222Z;4;
2020-06-10T04:40:29.288Z;4;
2020-06-10T05:40:29.367Z;4;
2020-06-10T06:40:29.436Z;4;
2020-06-10T07:40:29.468Z;7;
2020-06-10T08:40:29.548Z;11;
2020-06-10T09:40:29.632Z;11;
2020-06-10T10:40:29.708Z;12;
2020-06-10T11:40:29.808Z;12;
2020-06-10T12:40:29.880Z;12;
2020-06-10T13:40:29.916Z;12;
2020-06-10T14:40:29.920Z;12;
2020-06-10T15:40:30.008Z;13;
2020-06-10T16:40:30.053Z;11;
2020-06-10T17:40:30.079Z;7;
2020-06-10T18:40:30.164Z;6;
2020-06-10T19:40:30.248Z;4;
2020-06-10T20:40:30.344Z;4;
2020-06-10T21:40:30.436Z;6;
2020-06-10T22:40:30.440Z;5;
2020-06-10T23:40:30.464Z;5;
2020-06-11T00:40:30.500Z;5;
2020-06-11T01:40:30.601Z;6;
